id,title,original_language,popularity,vote_average
531428,Portrait of a Lady on Fire,Non-English,20.978,8.2
16869,Inglourious Basterds,English,86.404,8.2
518068,Along with the Gods: The Last 49 Days,Non-English,32.172,8.2
398818,Call Me by Your Name,English,101.605,8.2
11,Star Wars,English,77.644,8.2
629,The Usual Suspects,English,20.782,8.2
98,Gladiator,English,52.683,8.2
399106,Piper,English,7.741,8.2
1124,The Prestige,English,32.168,8.2
857,Saving Private Ryan,English,59.809,8.2
77,Memento,English,26.409,8.2
11324,Shutter Island,English,367.116,8.2
603,The Matrix,English,62.628,8.2
620683,My Mom is a Character 3,Non-English,5.769,8.2
517814,Capernaum,Non-English,15.818,8.2
50014,The Help,English,325.877,8.2
324786,Hacksaw Ridge,English,301.538,8.2
508442,Soul,English,175.175,8.2
103,Taxi Driver,English,39.307,8.2
406997,Wonder,English,48.155,8.2
872,Singin' in the Rain,English,19.843,8.2
19,Metropolis,Non-English,15.416,8.2
11878,Yojimbo,Non-English,15.131,8.2
475557,Joker,English,130.728,8.2
705,All About Eve,English,11.998,8.2
133919,Scenes from a Marriage,Non-English,7.809,8.2
289,Casablanca,English,20.562,8.2
439,La Dolce Vita,Non-English,13.097,8.2
400608,Bo Burnham: Make Happy,English,5.697,8.2
895,Andrei Rublev,Non-English,11.765,8.2
600354,The Father,English,22.528,8.2
111,Scarface,English,65.088,8.2
20914,My Friends,Non-English,4.199,8.2
1422,The Departed,English,31.039,8.2
548,Rashomon,Non-English,13.672,8.2
100,"Lock, Stock and Two Smoking Barrels",English,10.191,8.2
472454,Ayla: The Daughter of War,Non-English,13.651,8.2
606856,Togo,English,140.122,8.2
996,Double Indemnity,English,10.892,8.2
666,Central Station,Non-English,8.722,8.2
992,Sherlock Jr.,English,10.842,8.2
640344,Me Against You: Mr. S's Vendetta,Non-English,7.143,8.2
654299,Out of the Clear Blue Sky,Non-English,21.381,8.2
615457,Nobody,English,181.22,8.1
500,Reservoir Dogs,English,26.577,8.1
68718,Django Unchained,English,66.924,8.2
831827,Far From the Tree,English,94.009,8.1
55823,The Great War,Non-English,7.75,8.1
337404,Cruella,English,309.589,8.1
600,Full Metal Jacket,English,33.082,8.1
489,Good Will Hunting,English,75.319,8.1
239,Some Like It Hot,English,18.609,8.1
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,English,20.98,8.1
614,Wild Strawberries,Non-English,11.212,8.1
348,Alien,English,56.013,8.1
785534,Paper Lives,Non-English,27.235,8.1
411088,The Invisible Guest,Non-English,40.228,8.1
655,"Paris, Texas",English,13.936,8.1
638507,How to Train Your Dragon: Homecoming,English,66.113,8.1
9764,Dersu Uzala,Non-English,10.129,8.1
5801,Pather Panchali,Non-English,10.311,8.1
149871,The Tale of The Princess Kaguya,Non-English,15.807,8.1
17663,Anne of Green Gables,English,17.847,8.1
12445,Harry Potter and the Deathly Hallows: Part 2,English,290.891,8.1
92060,Michael Jackson's Thriller,English,10.247,8.1
24382,Big Deal on Madonna Street,Non-English,7.869,8.1
37165,The Truman Show,English,45.536,8.1
3780,Red Beard,Non-English,8.918,8.1
832,M,Non-English,9.937,8.1
550776,Believe Me: The Abduction of Lisa McVey,English,38.786,8.1
843,In the Mood for Love,Non-English,17.909,8.1
46738,Incendies,Non-English,15.385,8.1
42229,A Special Day,Non-English,6.666,8.1
38288,I corti,Non-English,4.424,8.1
7345,There Will Be Blood,English,19.484,8.1
529531,Hannah Gadsby: Nanette,English,6.355,8.1
38,Eternal Sunshine of the Spotless Mind,English,31.087,8.1
843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,English,133.638,8.1
103663,The Hunt,Non-English,20.223,8.1
359940,"Three Billboards Outside Ebbing, Missouri",English,20.944,8.1
334543,Lion,English,25.744,8.1
652722,In the Arms of an Assassin,Non-English,13.589,8.1
14696,Ugetsu,Non-English,9.058,8.1
574074,Kitbull,English,6.404,8.1
11659,The Best of Youth,Non-English,6.708,8.1
55960,"Toto, Peppino, and the Hussy",Non-English,5.38,8.1
780,The Passion of Joan of Arc,Non-English,10.528,8.1
147,The 400 Blows,Non-English,12.066,8.1
347688,Scooby-Doo! and Kiss: Rock and Roll Mystery,English,18.978,8.1
406,La Haine,Non-English,16.787,8.1
449176,"Love, Simon",English,32.996,8.1
387,Das Boot,Non-English,17.151,8.1
4348,Pride & Prejudice,English,55.534,8.1
1955,The Elephant Man,English,14.738,8.1
1396,Mirror,Non-English,11.603,8.1
437068,A Taxi Driver,Non-English,16.223,8.1
81481,Silenced,Non-English,27.784,8.1
11645,Ran,Non-English,13.244,8.1
62,2001: A Space Odyssey,English,36.424,8.1
515001,Jojo Rabbit,English,34.557,8.1
9702,Bound by Honor,English,81.974,8.1
280,Terminator 2: Judgment Day,English,67.385,8.1
282848,Doctor Who: The Time of the Doctor,English,6.48,8.1
8422,Rocco and His Brothers,Non-English,8.618,8.1
8392,My Neighbor Totoro,Non-English,57.039,8.1
19542,The Red Shoes,English,9.546,8.1
20530,Late Spring,Non-English,8.074,8.1
19426,Nights of Cabiria,Non-English,10.741,8.1
11423,Memories of Murder,Non-English,25.052,8.1
482321,Ron's Gone Wrong,English,224.167,8.1
28422,Love Exposure,Non-English,10.194,8.1
522518,A Dog's Journey,English,61.029,8.1
339877,Loving Vincent,English,15.079,8.1
10681,WALL·E,English,91.446,8.1
381284,Hidden Figures,English,147.925,8.1
146233,Prisoners,English,43.621,8.1
7347,Elite Squad,Non-English,38.224,8.1
115929,Cool Kids Don't Cry,Non-English,10.389,8.1
26022,My Name Is Khan,Non-English,31.328,8.1
821,Judgment at Nuremberg,English,12.291,8.1
538362,On My Skin,Non-English,9.884,8.1
568160,Weathering with You,Non-English,120.378,8.1
522402,Finch,English,194.632,8.1
264644,Room,English,25.256,8.1
120467,The Grand Budapest Hotel,English,24.37,8.1
58007,Poverty and Nobility,Non-English,6.194,8.1
438695,Sing 2,English,545.619,8.1
400928,Gifted,English,51.986,8.1
634649,Spider-Man: No Way Home,English,1713.86,8.1
455661,In a Heartbeat,English,6.147,8.1
397567,Along with the Gods: The Two Worlds,Non-English,54.393,8.1
582,The Lives of Others,Non-English,10.703,8.0
632322,All My Life,English,17.382,8.0
9277,The Sting,English,12.996,8.0
595,To Kill a Mockingbird,English,16.546,8.0
204,The Wages of Fear,Non-English,6.469,8.0
550205,Wish Dragon,English,135.036,8.0
20941,Innocent Voices,Non-English,28.507,8.0
28978,The Circus,English,6.502,8.0
11104,Chungking Express,Non-English,20.608,8.0
961,The General,English,11.124,8.0
310569,The Second Mother,Non-English,7.568,8.0
21634,Prayers for Bobby,English,10.97,8.0
938,For a Few Dollars More,Non-English,25.92,8.0
110416,Song of the Sea,English,10.578,8.0
378108,In This Corner of the World,Non-English,36.278,8.0
800,The Young and the Damned,Non-English,9.6,8.0
3090,The Treasure of the Sierra Madre,English,10.992,8.0
521,Dial M for Murder,English,13.074,8.0
458220,Palmer,English,51.52,8.0
429210,Bingo: The King of the Mornings,Non-English,5.294,8.0
1059,The Hidden Fortress,Non-English,11.374,8.0
776503,CODA,English,46.461,8.0
610461,"Veinteañera, Divorciada y Fantástica",Non-English,9.596,8.0
20803,Ivan Vasilyevich Changes His Profession,Non-English,8.989,8.0
962,The Gold Rush,English,11.942,8.0
641,Requiem for a Dream,English,14.696,8.0
307,"Rome, Open City",Non-English,9.061,8.0
14,American Beauty,English,20.94,8.0
38360,The Cranes Are Flying,Non-English,11.251,8.0
106646,The Wolf of Wall Street,English,182.109,8.0
15,Citizen Kane,English,19.625,8.0
678580,El mesero,Non-English,70.415,8.0
158445,Miracle in Cell No. 7,Non-English,16.931,8.0
11778,The Deer Hunter,English,15.015,8.0
15244,A Man Escaped,Non-English,13.153,8.0
2517,Nobody Knows,Non-English,12.167,8.0
279,Amadeus,English,19.342,8.0
315465,The Boy and the Beast,Non-English,47.388,8.0
554596,No Manches Frida 2,Non-English,129.572,8.0
426618,Where Hands Touch,English,10.836,8.0
12761,Autumn Sonata,Non-English,13.787,8.0
673,Harry Potter and the Prisoner of Azkaban,English,269.516,8.0
1091,The Thing,English,42.953,8.0
424694,Bohemian Rhapsody,English,79.323,8.0
654,On the Waterfront,English,10.632,8.0
205596,The Imitation Game,English,79.903,8.0
7508,Like Stars on Earth,Non-English,29.107,8.0
524,Casino,English,20.493,8.0
776305,Belle,Non-English,230.739,8.0
501929,The Mitchells vs. the Machines,English,35.807,8.0
28178,Hachi: A Dog's Tale,English,46.039,8.0
12104,Pink Floyd: The Wall,English,13.524,8.0
237791,The Way He Looks,Non-English,8.37,8.0
25376,The Secret in Their Eyes,Non-English,15.563,8.0
11658,Tae Guk Gi: The Brotherhood of War,Non-English,19.135,8.0
488623,Forgotten,Non-English,33.556,8.0
770,Gone with the Wind,English,26.427,8.0
667520,A Whisker Away,Non-English,69.562,8.0
140420,Paperman,English,8.007,8.0
13223,Gran Torino,English,30.877,8.0
3175,Barry Lyndon,English,13.443,8.0
41050,La Notte,Non-English,8.121,8.0
359724,Ford v Ferrari,English,51.999,8.0
11712,Sanjuro,Non-English,12.524,8.0
242828,When Marnie Was There,Non-English,45.105,8.0
213,North by Northwest,English,15.329,8.0
360814,Dangal,Non-English,11.406,8.0
94047,My Way,Non-English,14.775,8.0
560066,Scooby-Doo! and the Curse of the 13th Ghost,English,13.866,8.0
1580,Rope,English,12.661,8.0
1578,Raging Bull,English,20.938,8.0
1092,The Third Man,English,10.808,8.0
20875,Operation Y and Other Shurik's Adventures,Non-English,9.284,8.0
29264,The Exterminating Angel,Non-English,7.062,8.0
20334,The Shop Around the Corner,English,15.611,8.0
18438,Castaway on the Moon,Non-English,9.122,8.0
28971,Limelight,English,8.874,8.0
527774,Raya and the Last Dragon,English,221.83,8.0
406785,Inner Workings,English,6.677,8.0
10238,Cries and Whispers,Non-English,10.151,8.0
458302,"Remi, Nobody's Boy",Non-English,11.718,8.0
142061,"Batman: The Dark Knight Returns, Part 2",English,17.253,8.0
523781,Words on Bathroom Walls,English,11.647,8.0
15383,Army of Shadows,Non-English,9.168,8.0
573164,An Egg Rescue,Non-English,164.059,8.0
455714,Bad Genius,Non-English,16.315,8.0
20453,3 Idiots,Non-English,47.97,8.0
627,Trainspotting,English,25.467,8.0
530915,1917,English,41.834,8.0
947,Lawrence of Arabia,English,22.59,8.0
489412,It's Such a Beautiful Day,English,6.092,8.0
10515,Castle in the Sky,Non-English,37.878,8.0
45752,Scooby-Doo! Camp Scare,English,34.982,8.0
20271,Divorce Italian Style,Non-English,8.363,8.0
405,La Strada,Non-English,8.508,8.0
24,Kill Bill: Vol. 1,English,42.467,8.0
38286,Three Men and a Leg,Non-English,7.464,8.0
775,A Trip to the Moon,Non-English,15.828,8.0
110,Three Colors: Red,Non-English,15.038,8.0
801335,Girl in the Basement,English,222.729,8.0
10242,What Ever Happened to Baby Jane?,English,10.735,8.0
10404,Raise the Red Lantern,Non-English,11.32,8.0
862,Toy Story,English,218.376,8.0
17295,The Battle of Algiers,Non-English,7.06,8.0
3777,Throne of Blood,Non-English,11.394,8.0
70,Million Dollar Baby,English,20.343,8.0
920394,My Father's Violin,Non-English,33.154,8.0
414419,Kill Bill: The Whole Bloody Affair,English,21.607,8.0
505262,My Hero Academia: Two Heroes,Non-English,193.509,8.0
31411,The Cameraman,English,7.215,8.0
76,Before Sunrise,English,18.804,8.0
21334,Children of Heaven,Non-English,24.82,8.0
49964,Where Is My Friend's House?,Non-English,7.118,8.0
588228,The Tomorrow War,English,256.603,8.0
234,The Cabinet of Dr. Caligari,Non-English,15.592,8.0
149,Akira,Non-English,43.652,8.0
7857,Amarcord,Non-English,16.436,8.0
640,Catch Me If You Can,English,45.878,8.0
76203,12 Years a Slave,English,44.917,8.0
20722,La Maison en Petits Cubes,Non-English,11.186,8.0
11010,The Postman,Non-English,9.32,8.0
5925,The Great Escape,English,19.927,8.0
594634,Close to the Horizon,Non-English,22.815,7.9
779047,Us Again,English,7.785,7.9
43949,Flipped,English,38.408,7.9
548544,Invisible Life,Non-English,7.79,7.9
152532,Dallas Buyers Club,English,14.59,7.9
756999,The Black Phone,English,5278.336,8.0
491480,The Boy Who Harnessed the Wind,English,33.713,7.9
745,The Sixth Sense,English,43.102,7.9
522212,Just Mercy,English,15.744,7.9
160885,Tel chi el telùn,Non-English,4.366,7.9
14160,Up,English,117.052,7.9
556901,Teen Titans Go! vs. Teen Titans,English,33.578,7.9
552532,Charm City Kings,English,21.532,7.9
316029,The Greatest Showman,English,30.112,7.9
9323,Ghost in the Shell,Non-English,31.37,7.9
3083,Mr. Smith Goes to Washington,English,11.042,7.9
223,Rebecca,English,14.854,7.9
32085,Vincent,English,8.369,7.9
33,Unforgiven,English,20.664,7.9
435129,The Breadwinner,English,13.942,7.9
8290,La Grande Vadrouille,Non-English,20.29,7.9
3034,Young Frankenstein,English,14.001,7.9
508943,Luca,English,341.705,7.9
334533,Captain Fantastic,English,48.913,7.9
1646,Freedom Writers,English,26.723,7.9
150540,Inside Out,English,106.458,7.9
48035,Ordet,Non-English,6.807,7.9
25364,Ace in the Hole,English,7.672,7.9
24167,Two Women,Non-English,7.185,7.9
2011,Persepolis,Non-English,10.692,7.9
197,Braveheart,English,38.892,7.9
78,Blade Runner,English,40.476,7.9
613868,Cousins,Non-English,12.64,7.9
10674,Mulan,English,138.822,7.9
6977,No Country for Old Men,English,35.532,7.9
662,La Jetée,Non-English,10.496,7.9
597316,My Little Pony: A New Generation,English,90.393,7.9
829,Chinatown,English,18.292,7.9
329,Jurassic Park,English,66.065,7.9
60243,A Separation,Non-English,10.258,7.9
81,Nausicaä of the Valley of the Wind,Non-English,28.385,7.9
85,Raiders of the Lost Ark,English,39.769,7.9
31439,To Live,Non-English,10.442,7.9
10728,Faust,Non-English,7.325,7.9
37797,Whisper of the Heart,Non-English,44.337,7.9
615453,Ne Zha,Non-English,23.083,7.9
331482,Little Women,English,43.437,7.9
10386,The Iron Giant,English,82.321,7.9
7984,In the Name of the Father,English,14.667,7.9
671,Harry Potter and the Philosopher's Stone,English,287.011,7.9
183011,Justice League: The Flashpoint Paradox,English,32.533,7.9
47796,Mamma Roma,Non-English,7.734,7.9
2721,Z,Non-English,10.477,7.9
679,Aliens,English,76.725,7.9
631,Sunrise: A Song of Two Humans,English,8.53,7.9
45523,Louis C.K.: Hilarious,English,5.554,7.9
3870,1900,Non-English,12.417,7.9
3112,The Night of the Hunter,English,8.633,7.9
122906,About Time,English,35.697,7.9
198,To Be or Not to Be,English,9.583,7.9
118340,Guardians of the Galaxy,English,80.592,7.9
29455,Winter Light,Non-English,6.906,7.9
1892,Return of the Jedi,English,26.349,7.9
194,Amélie,Non-English,29.126,7.9
564427,Minha Vida em Marte,Non-English,4.298,7.9
369557,Sing Street,English,12.019,7.9
1402,The Pursuit of Happyness,English,36.131,7.9
946,Letter from an Unknown Woman,English,7.502,7.9
804,Roman Holiday,English,16.377,7.9
746957,You've Got This,Non-English,11.641,7.9
56231,The Working Class Goes to Heaven,Non-English,7.646,7.9
31442,Ivan's Childhood,Non-English,8.835,7.9
579245,The Specials,Non-English,8.328,7.9
25538,Yi Yi,Non-English,13.577,7.9
3078,It Happened One Night,English,9.83,7.9
